subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
CA01,27.62305826637652,26.590966836232862,38.925756365054255,37.98954761784324,3.7363401987966927
CA02,28.973617011033753,28.34468153132173,41.16432390492019,40.56237268151714,2.170717861951829
CA03,29.919953546590563,29.919953546590563,40.99096503419071,40.99096503419071,0.0
CA04,27.81744416087805,26.1069391404647,37.71378917234217,36.25405782938931,6.149037310979755
CA05,28.36934355926585,25.024224675247634,40.461962187080715,36.374787787474354,11.791315780818096
CA06,26.926458981190443,26.103757975186117,39.95559084653987,39.104052173027334,3.055362781192382
CA07,24.82771683488375,21.52254705608072,34.40117313313959,31.271795334412836,13.312419344815291
CA08,29.631821384263024,29.631821384263024,39.94397054377743,39.94397054377743,0.0
CA09,27.676319645648068,21.492214939140467,39.66756486092874,33.08316184433725,22.34438966483036
CA10,28.649016680445495,28.649016680445495,38.35007279544935,38.35007279544935,0.0
CA11,32.03481835546102,32.57141831961017,39.804807060438804,45.37126602201179,-1.6750523077577308
CB01,28.660680043910162,10.511004529977031,39.58904236418033,15.958350125975212,63.326046298017225
CB02,27.756611658264152,25.958548022297627,39.29847567147828,37.211556924393,6.47796517134027
CB03,29.042082849684466,28.26183988577006,41.28640530471213,40.50278038243573,2.6865943739392795
CB05,24.205205142202136,24.205205142202136,37.49534102653398,37.49534102653398,0.0
CB06,28.599017998250545,28.599017998250545,39.596340327158536,39.596340327158536,0.0
CB07,30.738872875037615,30.738872875037615,42.52769124793859,42.52769124793859,0.0
CB08,27.789479239553586,23.84076963165803,37.563979434259416,33.65040921471291,14.20936885450966
CB09,26.5685324226058,21.46573218841703,36.96163207343227,32.11768770083833,19.20618027756422
CB10,27.527354926351904,15.678663041415815,38.12374100098547,22.1104248734758,43.043336043861416
CB11,29.453158651651755,29.453158651651755,39.980476670365,39.980476670365,0.0
CB12,26.961158233283467,26.961158233283467,34.58138807764267,34.58138807764267,0.0
CB13,27.531486972338293,26.769891355656053,37.63624976010589,36.88701667879617,2.766271278581637
CB14,26.2354397574251,12.074932829919327,36.97931579343395,20.26982848229051,53.97472677582276
CB15,28.507075364881544,10.219402736283222,43.8029259190263,16.99472705467185,64.15134626938014
CB16,29.10087176258315,19.35289593019895,38.93210629401728,28.94795847137379,33.49719524525652
CB17,29.436500762172923,26.683582087228785,41.963355339849564,38.96206426511796,9.352058171539694
CB18,28.563504870223543,28.19401516050431,39.68676001003697,39.34809059895154,1.2935727299502822
CB19,28.961750564975034,25.582723833965478,41.039199056216965,37.74335765030224,11.667204727244599
CB20,27.473878763638957,22.416748871568046,38.95369976964866,33.63773067717113,18.407047419761877
CB22,26.79376188803476,26.34246974316378,40.620042723631045,40.160430941149976,1.6843179645950068
CB23,29.32085011359446,29.32085011359446,38.08923473346781,38.08923473346781,0.0
CB24,29.62423210223977,28.52896679570318,41.17118820463179,40.2406847572078,3.6971939146189072
CB25,34.47147110306855,30.459024576154544,46.157373220163535,40.82560718529934,11.63990511143817
CB26,29.68759607216974,29.68759607216974,40.18312176206355,40.18312176206355,0.0
CI01,25.655055052136948,19.21023564711143,37.60557800930353,29.50320995945798,25.12105077119566
CI02,29.992752407100387,26.312508097211428,41.43332505955151,37.49617564744098,12.2704454060632
CI03,26.12567486830159,19.46534522239185,35.43347066613094,29.186549335452476,25.49342621572142
CI04,28.695831326790273,28.012205386869987,39.23856479125359,38.54242055522085,2.3823179476318472
CI05,32.730036354496434,14.717563225182293,41.97297851439171,22.089307362105334,55.03346508455558
CI06,26.28156737530194,26.28156737530194,35.68946373146816,35.68946373146816,0.0
CI07,27.90501005868733,27.59242072282416,39.47273032351457,39.19368331080156,1.1201907299290084
CI08,25.339888402672756,9.813949654255866,36.20608762291531,14.41984775618549,61.27074634937726
CI09,29.426158572411815,27.580587577322884,39.47793078012188,37.81440334157921,6.271871982703262
