subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
CA01,27.62305826637652,12.720988528103291,38.925756365054255,20.410288384730375,53.947935795409016
CA02,28.973617011033753,12.983519081791401,41.16432390492019,18.927282278901814,55.18847689314382
CA03,29.919953546590563,16.524987166083047,40.99096503419071,25.915581728489965,44.769342170432274
CA04,27.81744416087805,14.362467297604685,37.71378917234217,23.054002622444916,48.368846488766216
CA05,28.36934355926585,13.924562201164388,40.461962187080715,24.305620310768482,50.91686851310164
CA06,26.926458981190443,13.907461555741934,39.95559084653987,23.57286469490349,48.350202433015674
CA07,24.82771683488375,13.373285976110873,34.40117313313959,21.431752198332415,46.135659331666886
CA08,29.631821384263024,10.023951481321932,39.94397054377743,15.470968477762854,66.1716660905445
CA09,27.676319645648068,11.14387514266371,39.66756486092874,16.034078838000408,59.73498179908463
CA10,28.649016680445495,14.172689969134213,38.35007279544935,22.747160204463402,50.52992524239814
CA11,32.03481835546102,26.307415420595298,39.804807060438804,38.15351821375094,17.878680850673103
CB01,28.660680043910162,9.797217481070415,39.58904236418033,16.115222766694536,65.8165212198022
CB02,27.756611658264152,13.496356542714063,39.29847567147828,22.43374397403956,51.37606596626607
CB03,29.042082849684466,12.714650481736712,41.28640530471213,21.516142821846355,56.21990837384154
CB05,24.205205142202136,10.201065209922866,37.49534102653398,16.526867506484088,57.8559026870747
CB06,28.599017998250545,11.956705616675839,39.596340327158536,18.95455699684249,58.1919014932357
CB07,30.738872875037615,12.292809564495274,42.52769124793859,19.54440653649731,60.00891244624002
CB08,27.789479239553586,13.212981949173377,37.563979434259416,19.789226074752165,52.45329415757115
CB09,26.5685324226058,8.838059225152445,36.96163207343227,14.646319818013533,66.73486105829241
CB10,27.527354926351904,13.052261686533527,38.12374100098547,20.115194130332803,52.584395698554346
CB11,29.453158651651755,11.46171227649733,39.980476670365,18.68653654995233,61.08494707797818
CB12,26.961158233283467,12.692871724029086,34.58138807764267,17.87222167787621,52.92163780872079
CB13,27.531486972338293,13.460238951265115,37.63624976010589,23.7713882085144,51.10965504773128
CB14,26.2354397574251,12.55985970944826,36.97931579343395,21.231436028902024,52.12636103843621
CB15,28.507075364881544,13.137799805437169,43.8029259190263,22.194874956446398,53.91389808572964
CB16,29.10087176258315,15.653434965238764,38.93210629401728,24.914685085482507,46.20973868774136
CB17,29.436500762172923,12.022552234274157,41.963355339849564,19.58405845331035,59.15767185981693
CB18,28.563504870223543,12.154308521092668,39.68676001003697,19.194556718027773,57.44811928257757
CB19,28.961750564975034,11.62634533933039,41.039199056216965,19.638055750352958,59.85620650503516
CB20,27.473878763638957,9.60500792512349,38.95369976964866,15.421343270515015,65.03949075499492
CB22,26.79376188803476,13.017559420059353,40.620042723631045,21.00252491299991,51.415708348619084
CB23,29.32085011359446,11.107120104730773,38.08923473346781,16.41980749887952,62.118696894190606
CB24,29.62423210223977,13.198906039269085,41.17118820463179,21.43874128908328,55.44557579174797
CB25,34.47147110306855,18.93517700176473,46.157373220163535,27.741554056688123,45.07000601990794
CB26,29.68759607216974,11.119822887789537,40.18312176206355,16.867575450884907,62.543875695568104
CI01,25.655055052136948,12.079008440930918,37.60557800930353,18.297057736893287,52.91762806049878
CI02,29.992752407100387,10.894394046749332,41.43332505955151,16.517647808447467,63.67657793163982
CI03,26.12567486830159,9.25168612736612,35.43347066613094,13.044692874576253,64.58776213818983
CI04,28.695831326790273,12.870326387321233,39.23856479125359,17.94313181335921,55.14914260279483
CI05,32.730036354496434,17.764803021576785,41.97297851439171,26.329112442364835,45.723240789690514
CI06,26.28156737530194,18.842268660027475,35.68946373146816,29.347879005757374,28.30614555456663
CI07,27.90501005868733,12.37611912906149,39.47273032351457,21.600689181089358,55.649114252124846
CI08,25.339888402672756,11.787982627771475,36.20608762291531,17.096780317747285,53.48052666827008
CI09,29.426158572411815,11.682513854080785,39.47793078012188,19.447330817644183,60.29888228416739
