method,loso_mae_corrected,loso_improvement_pct,pooled_mae_corrected,pooled_rmse_corrected,deep_mae_corrected
raw,12.291,0.0,12.291,16.059,19.702
savgol,12.212,0.64,12.212,15.889,19.759
kalman,12.15,1.15,12.15,15.831,20.315
mlp_direct,9.967,18.91,9.967,17.095,8.051
mlp_residual,8.703,29.19,8.703,11.723,7.563
extratrees_residual,8.163,33.59,8.163,10.765,7.555
