set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
CA01,12350,7.866150861180721,3.5066867909727204,11.26878977134989,4.632836912673684,55.42054998870996,CA01
CA02,11901,12.680093721428104,4.649654162733703,18.009285205402907,6.750702099695245,63.331074163306475,CA02
CA03,10644,10.151913319663603,5.089364602201894,13.66123075760427,6.730672474277734,49.867926941967454,CA03
CA04,7176,7.688546453440469,3.553148508937494,9.933167628120184,4.811316776394231,53.78647276888686,CA04
CA05,6408,8.266599820596277,4.0619471964694105,13.06408163258925,5.783811810151192,50.86314464685895,CA05
CA06,9607,8.089695900889769,3.9551129954216537,11.764907955403487,5.681118066111506,51.10925004008322,CA06
CA07,5906,7.0471419897031105,3.2395800160424795,10.540039473225708,4.235251814322309,54.029874511171016,CA07
CA08,10184,8.89534779429654,3.129147016167008,12.627197761554479,4.314511613523705,64.82265687044487,CA08
CA09,4148,8.007913054999305,3.31692492217321,12.209578230781535,4.406254613834421,58.57940889976986,CA09
CA10,17467,7.983802046039301,3.413046401110378,11.207287182739952,4.505751776337775,57.25036290443145,CA10
CA11,4096,11.344059861436044,4.703597121287432,14.389953714469174,5.8894010139907635,58.53691554222807,CA11
CB01,2628,8.446010154638046,3.3611962349353393,11.69801633190908,4.385458162786711,60.20373912184358,CB01
CB02,9244,5.990772760741442,2.844529029437784,9.095397760360955,3.7452377292533052,52.518161795779186,CB02
CB03,9212,9.041157493684906,3.501953264240616,13.07810130531397,4.796638271567055,61.266538419592074,CB03
CB05,10927,8.712516785963432,4.014773042233618,11.45487375723554,5.117491923519881,53.91947997504302,CB05
CB06,8234,7.029425190195244,3.7303084812198186,9.629332741822884,4.875351701603016,46.93295141083637,CB06
CB07,17303,11.705074910230827,4.830891881280618,16.547601538884532,7.210086954043132,58.728227556594504,CB07
CB08,4572,8.89601498610899,3.083797275442906,13.16892883327674,4.11515301559278,65.33507103733284,CB08
CB09,5511,6.519729177684408,3.4215627354614773,8.978889976389766,4.368119742155298,47.51986405857577,CB09
CB10,3096,6.470661308762349,3.107711839078271,8.598091658894479,4.270933148507385,51.972268508785746,CB10
CB11,10730,9.56509094068871,3.9582360517384383,13.483857456857022,5.052636816078428,58.61789421258303,CB11
CB12,11272,8.565526412379736,3.3943075558266145,11.804630012181613,4.455258242466596,60.37245824236991,CB12
CB13,10533,6.776277418403067,2.906340466348244,9.428458114024563,4.033975171055878,57.11007258269589,CB13
CB14,3428,9.289287624638847,2.862641198942626,12.628111212339293,3.826603706398374,69.18341519160441,CB14
CB15,1128,6.4781159513866085,4.005827012603048,8.54873269416594,5.6935348736523315,38.163703109611355,CB15
CB16,3928,10.784041585869135,3.6123017416866428,13.383921386869982,4.70116317562698,66.50326584033188,CB16
