method,loso_mae_corrected,loso_improvement_pct,pooled_mae_corrected,pooled_rmse_corrected,deep_mae_corrected
raw,9.581,0.0,9.528,11.234,10.068
savgol,9.581,0.0,9.528,11.234,10.068
kalman,9.677,-1.0,9.63,11.175,10.026
mlp_direct,24.401,-154.68,24.639,32.396,18.163
mlp_residual,10.401,-8.56,10.505,13.346,9.574
extratrees_residual,6.204,35.25,6.278,7.688,6.198
