set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
SUME_S1_vicon,786,26.272201848508693,28.774349090814717,30.87644615392456,32.042101931352384,-9.523934296538812,SUME_S1,vicon
SUME_S11_vicon,635,27.438929887690854,33.34725202410014,31.3875648902465,35.86645792834331,-21.532625946392216,SUME_S11,vicon
SUME_S12_vicon,687,15.784851849838644,13.219321044512974,18.82176076324661,16.083118690104676,16.253119318011816,SUME_S12,vicon
SUME_S13_vicon,766,14.199919864967075,11.819840497278967,19.005638734160353,14.482614265022637,16.761216896442157,SUME_S13,vicon
SUME_S14_vicon,493,11.263874848671128,15.98550385440329,15.3747072652911,19.0202435863286,-41.91833688820863,SUME_S14,vicon
SUME_S15_vicon,478,14.3026582663186,16.900658526669332,18.26314840281963,19.505541123937466,-18.164457347546193,SUME_S15,vicon
SUME_S16_vicon,1193,19.397670963867075,17.581490216332885,25.459928675734766,21.208116172576016,9.36288047630704,SUME_S16,vicon
SUME_S17_vicon,917,20.02298151397952,20.81897199223766,25.010666082641013,26.01504166233548,-3.97538437371278,SUME_S17,vicon
SUME_S18_vicon,741,15.337591309055988,13.088580184150107,18.483722906696375,15.995209498072017,14.663391921115837,SUME_S18,vicon
SUME_S19_vicon,697,21.89146885528995,22.076553603424273,26.109827879366424,25.927248509619822,-0.8454651871822552,SUME_S19,vicon
SUME_S2_vicon,653,19.519677437482652,23.675504026440134,25.764695897082973,27.96525856864753,-21.290447048972524,SUME_S2,vicon
SUME_S20_vicon,911,13.057672516248457,13.002803876876426,18.951509171491725,16.679363446729532,0.4202022933547712,SUME_S20,vicon
SUME_S21_vicon,821,14.522193744976263,12.427024910686661,17.576426164884754,15.499921091591863,14.427357678067024,SUME_S21,vicon
SUME_S22_vicon,980,26.847395034659304,24.465215618257602,31.685257076845385,28.047027319603004,8.873037452335202,SUME_S22,vicon
SUME_S23_vicon,700,13.715036374949378,13.872284400626727,17.167909276471207,16.174820885977844,-1.1465374307323308,SUME_S23,vicon
SUME_S24_vicon,1145,23.315735583623205,26.353520663779108,28.806397560625477,31.726913003795183,-13.028905175479943,SUME_S24,vicon
SUME_S25_vicon,867,9.202904165584949,7.786146923374674,10.730279851428918,9.3399643819573,15.394675601516747,SUME_S25,vicon
SUME_S26_vicon,854,14.99662064098919,18.740608933686094,19.9370322998711,22.833672618583503,-24.965546454270687,SUME_S26,vicon
SUME_S27_vicon,122,17.42380158265613,24.078943127634737,22.253525449192527,26.862757841723607,-38.19569175766567,SUME_S27,vicon
SUME_S28_vicon,961,9.802592564313438,8.971206205591336,13.647782365104623,11.032924680091709,8.481290569484466,SUME_S28,vicon
SUME_S3_vicon,555,16.73431000499171,20.220414767399372,20.731054480488833,23.166756937021923,-20.832079490387034,SUME_S3,vicon
SUME_S4_vicon,628,15.948802126440725,16.727824682687555,21.05460231018121,20.440004828657507,-4.884520793917975,SUME_S4,vicon
SUME_S6_vicon,922,16.211039073631746,18.248401160447482,20.864487214281823,21.193067916099228,-12.56774521091391,SUME_S6,vicon
SUME_S7_vicon,1208,21.688856319929556,19.935778575539707,31.7653126653991,24.62894938724838,8.082850098365824,SUME_S7,vicon
SUME_S8_vicon,972,11.354035494320811,12.785255263765025,15.397123856291453,15.725947523509669,-12.605383963790647,SUME_S8,vicon
SUME_S9_vicon,919,14.574309993751413,15.105754919718981,19.118871137603367,18.71464605824892,-3.6464499945137683,SUME_S9,vicon
