set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
PM_008_front,394,9.880723372477586,16.368544472876852,12.266087840693334,17.782906389321138,-65.66139801536058,PM_008,front
PM_008_side,195,20.84918539308766,21.850980000469875,23.149842761174366,23.691430427935508,-4.804958028309111,PM_008,side
PM_022_front,452,11.59029985317403,16.52897518698193,14.751051814283882,18.035426122018954,-42.61041902600503,PM_022,front
PM_022_side,452,27.095506946102724,23.98469004927338,28.696035021036657,26.418488736011255,11.480932624797369,PM_022,side
PM_029_front,531,23.39671289158725,32.94273271811862,32.112269829292394,38.875214444503555,-40.800687988797904,PM_029,front
PM_029_side,531,23.070448247371566,23.294897649926565,25.342580036806005,25.383476957756457,-0.9728870464429347,PM_029,side
PM_038_front,451,8.403507302721703,14.451921635817952,10.253043159629199,16.354761398097818,-71.97488043042821,PM_038,front
PM_038_side,451,14.543906870977588,17.51350681668253,16.249574301330547,19.790916022685206,-20.418172173742303,PM_038,side
PM_043_front,292,16.360800043628576,26.357986510780904,17.82476904996469,27.732008082510113,-61.104508584502604,PM_043,front
PM_043_side,292,25.268251806346814,27.594270346061965,28.45581855983266,29.704608645870362,-9.205300618109666,PM_043,side
PM_105_front,382,14.899088799146087,23.618287444238987,16.211165395562197,24.957255764414818,-58.52169057206119,PM_105,front
PM_105_side,382,24.037228180443943,23.69695855854405,26.016767235073463,26.297969601478243,1.4155942579799075,PM_105,side
PM_113_front,434,17.558130074063634,27.309552344827686,21.823165547807907,31.271951265828573,-55.53793159995195,PM_113,front
PM_113_side,434,21.054342601622224,19.60270893992444,23.52566445484949,23.598510241852644,6.894699536170444,PM_113,side
PM_118_front,341,22.85889486412739,34.601353254503714,27.20154419931974,38.02338936360689,-51.36931798397586,PM_118,front
PM_118_side,341,24.950412769790297,28.098297563878297,25.666587763113434,28.795722435200048,-12.616563994882787,PM_118,side
PM_126_front,425,22.70549518938791,36.200167851752,30.026927985651973,40.580995641655655,-59.43350959670426,PM_126,front
PM_126_side,424,27.64938859899723,28.683317460586434,30.41295027960147,31.18560699474624,-3.73942757499781,PM_126,side
