subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
CA01,21.49570317117319,20.641162637100727,27.458310939604534,26.72882970498182,3.975401629189057
CA02,18.23886331432367,17.888290331248108,24.62018292626267,24.273125689449493,1.9221207869913894
CA03,18.066249342293126,18.066249342293126,24.91654215889597,24.91654215889597,0.0
CA04,16.717657192465268,16.24914733830975,23.46935064242807,22.952263857363825,2.8024851135640994
CA05,16.502522013151516,14.309830815921883,22.78853033211904,20.505284423356148,13.287006649542358
CA06,20.950003101395005,20.538513680773814,27.62806946325074,27.255074266551365,1.9641496883300735
CA07,14.704750744691488,12.565688594985986,20.728537426859596,17.8944705815043,14.546741980497139
CA08,18.793633999956665,18.793633999956665,25.230605625010327,25.230605625010327,0.0
CA09,18.92629120771897,15.48571264462231,25.134658723224486,21.499304522131155,18.178831369209
CA10,22.339468867159795,22.339468867159795,28.872116125916293,28.872116125916293,0.0
CA11,18.23141171222767,14.156270471371883,25.51871648956639,20.364020226638356,22.352307682913107
CB01,19.067440284502972,11.173364131674777,26.365446562916926,17.897596081373482,41.40081749328509
CB02,16.611912696016105,15.512100452217211,22.73652166550496,21.292959730050455,6.620623789232005
CB03,22.08995233999866,21.6830008744202,29.359535449227668,28.963786406666987,1.8422469153162826
CB05,18.14031812032464,18.14031812032464,24.912463404032497,24.912463404032497,0.0
CB06,19.964561435290953,19.964561435290953,26.675303337308442,26.675303337308442,0.0
CB07,20.1572929998833,20.1572929998833,26.889779840405875,26.889779840405875,0.0
CB08,17.482241313767602,16.550431247154204,23.831144860313593,23.461870723819796,5.330037778849212
CB09,16.59640056533025,14.656631788381379,23.889056499827216,21.83382672275885,11.687888402748198
CB10,17.97375070625486,10.703704008686891,23.767400916382677,14.88224566629893,40.44813359427532
CB11,19.666716041273354,19.666716041273354,26.009709331451525,26.009709331451525,0.0
CB12,17.81981694268089,17.81981694268089,24.378405317543187,24.378405317543187,0.0
CB13,16.738699897842935,16.635102841009452,23.918521378392114,23.73581239881241,0.6189074268953992
CB14,21.981856878661766,11.63455519876441,28.549489081917407,16.589645971789363,47.072009143784804
CB15,19.22887492826593,10.860184483567359,24.34086741403087,14.330656617555107,43.521477340293174
CB16,18.13473426584221,14.290964006292205,25.614588153047237,22.579703413872693,21.19562494384029
CB17,16.27469740700334,15.137264907850218,22.96908745534354,22.025731888161015,6.988962502391362
CB18,17.613350989013192,17.51997073325436,23.866139928676226,23.826229625947462,0.5301674611326334
CB19,18.01696927272697,16.27375479114345,23.91715935158397,22.245469031081594,9.675403533169682
CB20,18.614978795102076,16.251815507198067,25.31526620506905,22.845719747125518,12.694955572690727
CB22,21.673915019194602,21.53937357600851,28.869080148357824,28.73839887798863,0.6207528407624553
CB23,17.425375700736968,17.425375700736968,24.320572288195468,24.320572288195468,0.0
CB24,21.234902466882932,20.84344556204743,28.087222734872633,27.803532221020895,1.8434598672915987
CB25,24.927470382968348,23.585834981917348,34.0342811956443,32.83893920505359,5.382156233420583
CB26,21.70573062011719,21.70573062011719,29.294629717875203,29.294629717875203,0.0
CI01,18.356056747562423,13.648580152912023,23.977416219463734,18.747788791576923,25.645358692168596
CI02,18.8372052089831,17.238778364593788,26.296483641083036,24.210540802624738,8.485477684487151
CI03,16.396245969699393,13.612586691252703,23.497248312090896,20.169406529344098,16.977418389495686
CI04,18.622259532458088,18.015439731856215,24.594056752078234,23.939538631512352,3.2585723528565493
CI05,22.931010001966797,16.70093453041202,29.91341502218095,22.453552333703623,27.168779181642773
CI06,16.83156506331107,16.83156506331107,22.851642255593685,22.851642255593685,0.0
CI07,19.148874565437513,19.117471847763724,27.136913747873844,27.041356164244576,0.16399249766076937
CI08,18.629445847201254,10.149543473066803,24.79419763429201,13.916350024122334,45.51881169030268
CI09,17.221599632104173,16.59068705026863,25.490400009350076,25.073251535886346,3.6634958152168795
