mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
21.497582059563086,21.497582059563086,27.458994044865733,27.458994044865733,0.0,CA01
18.250980897095072,18.250980897095072,24.631496328161056,24.631496328161056,0.0,CA02
18.064959348454543,18.064959348454543,24.912599524375512,24.912599524375512,0.0,CA03
16.72250356539039,16.72250356539039,23.477668256417807,23.477668256417807,0.0,CA04
16.50088944164915,16.50088944164915,22.78840020473481,22.78840020473481,0.0,CA05
20.946765373184288,20.946765373184288,27.627807427986873,27.627807427986873,0.0,CA06
14.708445315979908,14.708445315979908,20.732761517955968,20.732761517955968,0.0,CA07
18.798236449187925,18.798236449187925,25.236070467476175,25.236070467476175,0.0,CA08
18.91989766625427,18.91989766625427,25.125145808996077,25.125145808996077,0.0,CA09
22.33982428612756,22.33982428612756,28.87111957214119,28.87111957214119,0.0,CA10
18.247839759615193,18.247839759615193,25.550403084706666,25.550403084706666,0.0,CA11
19.092848310927078,19.092848310927078,26.401563980634908,26.401563980634908,0.0,CB01
16.618709878276807,16.618709878276807,22.747513502865456,22.747513502865456,0.0,CB02
22.095017304281765,22.095017304281765,29.365869109999277,29.365869109999277,0.0,CB03
18.12611047441135,18.12611047441135,24.893865395519338,24.893865395519338,0.0,CB05
19.966039970099878,19.966039970099878,26.678648743282587,26.678648743282587,0.0,CB06
20.162984393985,20.162984393985,26.896644944035636,26.896644944035636,0.0,CB07
17.44775137910388,17.44775137910388,23.804097031687974,23.804097031687974,0.0,CB08
16.582404446745706,16.582404446745706,23.873798739653363,23.873798739653363,0.0,CB09
18.005339651168843,18.005339651168843,23.791902037775507,23.791902037775507,0.0,CB10
19.673263180808053,19.673263180808053,26.020161119870163,26.020161119870163,0.0,CB11
17.81912804962511,17.81912804962511,24.379118964892797,24.379118964892797,0.0,CB12
16.7464385995265,16.7464385995265,23.92808215493715,23.92808215493715,0.0,CB13
21.978247104165533,21.978247104165533,28.55039297764969,28.55039297764969,0.0,CB14
19.30257616107573,19.30257616107573,24.450544916742476,24.450544916742476,0.0,CB15
18.150351125996686,18.150351125996686,25.634869346539038,25.634869346539038,0.0,CB16
16.263602561558972,16.263602561558972,22.96543415613997,22.96543415613997,0.0,CB17
17.617206627351422,17.617206627351422,23.87096126573143,23.87096126573143,0.0,CB18
18.008865011685284,18.008865011685284,23.912531696977666,23.912531696977666,0.0,CB19
18.624937802739293,18.624937802739293,25.327633946525143,25.327633946525143,0.0,CB20
21.67643644509563,21.67643644509563,28.874292266994146,28.874292266994146,0.0,CB22
17.42921908370985,17.42921908370985,24.324958721765594,24.324958721765594,0.0,CB23
21.239462395828994,21.239462395828994,28.093076815698947,28.093076815698947,0.0,CB24
24.93934684651328,24.93934684651328,34.053998504790655,34.053998504790655,0.0,CB25
21.68874058447578,21.68874058447578,29.28209436705001,29.28209436705001,0.0,CB26
18.335901446588302,18.335901446588302,23.956824197315935,23.956824197315935,0.0,CI01
18.855435901478867,18.855435901478867,26.31696971782019,26.31696971782019,0.0,CI02
16.351644837745773,16.351644837745773,23.44503053980149,23.44503053980149,0.0,CI03
18.60677420154504,18.60677420154504,24.580892466378636,24.580892466378636,0.0,CI04
22.899415187396688,22.899415187396688,29.897505055667356,29.897505055667356,0.0,CI05
16.834986831696305,16.834986831696305,22.854869520415228,22.854869520415228,0.0,CI06
19.13913551070945,19.13913551070945,27.129280539147754,27.129280539147754,0.0,CI07
18.676592650194408,18.676592650194408,24.839751852149064,24.839751852149064,0.0,CI08
17.23631252363578,17.23631252363578,25.50676517189144,25.50676517189144,0.0,CI09
