mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
21.497582059563086,21.488498762772814,27.458994044865733,27.397856981842274,0.04225264387923151,CA01
18.250980897095072,18.234373649009814,24.631496328161056,24.54698003819702,0.09099372893377479,CA02
18.064959348454543,18.065524711870463,24.912599524375512,24.88096128468645,-0.0031296135519279385,CA03
16.72250356539039,16.78951729695804,23.477668256417807,23.53738380691251,-0.40073982526362223,CA04
16.50088944164915,16.47509003317539,22.78840020473481,22.537509748898188,0.15635162313517367,CA05
20.946765373184288,20.94960393595598,27.627807427986873,27.58367315931205,-0.01355131792962556,CA06
14.708445315979908,14.560254810037048,20.732761517955968,20.21178589661121,1.0075198483544674,CA07
18.798236449187925,18.79817280457422,25.236070467476175,25.220266570401893,0.0003385669388493207,CA08
18.91989766625427,18.793234112542528,25.125145808996077,24.73396631780356,0.669472720973849,CA09
22.33982428612756,22.339909036332042,28.87111957214119,28.848989029813204,-0.0003793682680635876,CA10
18.247839759615193,17.760975490552035,25.550403084706666,24.543455049537638,2.66806523663503,CA11
19.092848310927078,18.640291732490358,26.401563980634908,25.49426955092209,2.3702936883320675,CB01
16.618709878276807,16.578042903373895,22.747513502865456,22.549159794554722,0.24470596815743198,CB02
22.095017304281765,22.08800841706318,29.365869109999277,29.29770787317089,0.031721573792238535,CB03
18.12611047441135,18.127410201306635,24.893865395519338,24.854433885012682,-0.007170467691443464,CB05
19.966039970099878,19.963540298093907,26.678648743282587,26.669874597112212,0.01251961836054872,CB06
20.162984393985,20.162984393985,26.896644944035636,26.896644944035636,0.0,CB07
17.44775137910388,17.275605989942367,23.804097031687974,23.523758362634286,0.986633666546179,CB08
16.582404446745706,16.468212797648714,23.873798739653363,23.545502308333415,0.6886314313688163,CB09
18.005339651168843,17.630325998403954,23.791902037775507,22.847435550097583,2.0827913276301,CB10
19.673263180808053,19.67318660437175,26.020161119870163,26.008913363593177,0.00038924115231581195,CB11
17.81912804962511,17.81912804962511,24.379118964892797,24.379118964892797,0.0,CB12
16.7464385995265,16.73645108842297,23.92808215493715,23.85899626398868,0.05963961259088561,CB13
21.978247104165533,21.224656939045182,28.55039297764969,27.22732146001165,3.428800129276563,CB14
19.30257616107573,18.999201231128662,24.450544916742476,23.2399617340681,1.5716810409940714,CB15
18.150351125996686,17.904897671538208,25.634869346539038,25.017740196815843,1.3523344686534207,CB16
16.263602561558972,16.152404431025914,22.96543415613997,22.718452619733934,0.6837238558441444,CB17
17.617206627351422,17.61644092233231,23.87096126573143,23.855991107392384,0.004346347495998511,CB18
18.008865011685284,17.973470823850334,23.912531696977666,23.775307714102322,0.19653758197411964,CB19
18.624937802739293,18.463109119366983,25.327633946525143,24.81718459273434,0.8688817384856367,CB20
21.67643644509563,21.678727719699214,28.874292266994146,28.83095419941012,-0.010570347249601077,CB22
17.42921908370985,17.423926893080782,24.324958721765594,24.267633981107775,0.03036389986062758,CB23
21.239462395828994,21.236925908583164,28.093076815698947,28.057653636301872,0.01194233261915593,CB24
24.93934684651328,24.88510876997214,34.053998504790655,33.80696057513929,0.2174799399316502,CB25
21.68874058447578,21.687967894515108,29.28209436705001,29.26370521187198,0.003562631761228704,CB26
18.335901446588302,18.196184344824218,23.956824197315935,23.45556881802008,0.7619865441089674,CI01
18.855435901478867,18.802281797703273,26.31696971782019,26.061145382519694,0.28190334104885173,CI02
16.351644837745773,16.19613752344267,23.44503053980149,22.896625476456155,0.9510193980249305,CI03
18.60677420154504,18.608754625885055,24.580892466378636,24.520822373501662,-0.010643566254760976,CI04
22.899415187396688,22.30663719584983,29.897505055667356,28.80539676544349,2.5886162886513726,CI05
16.834986831696305,16.834398081450846,22.854869520415228,22.83523419669384,0.0034971826906965353,CI06
19.13913551070945,19.151657861105182,27.129280539147754,27.11651015802176,-0.06542798335235057,CI07
18.676592650194408,18.32625657279887,24.839751852149064,23.512357258893406,1.875802958051305,CI08
17.23631252363578,17.271979425399426,25.50676517189144,25.486847794247183,-0.20692884115865806,CI09
