subject,n_frames,mae_raw,mae_corrected,improvement,deep_n,deep_raw,deep_corr,deep_imp
PM_008,15562,9.845950205999538,7.48017738078653,24.027877205507767,3075,13.400781517247891,6.476776427102124,51.66866634780972
PM_022,5510,12.745257899754757,8.918047442459766,30.028505404889717,1666,19.37013809143394,5.704833054757046,70.54830983739917
PM_029,6176,15.316556092157674,8.395947300281666,45.183843876101314,2192,23.274244633289136,8.236927719282995,64.60925865021748
PM_038,4944,9.252877374604925,8.249359054592036,10.845473028391199,1486,11.511349422915037,6.235818633306288,45.82895189600472
PM_043,6924,10.316436981486891,5.830762442377311,43.480850483158456,1354,20.865604809038953,5.671566902587763,72.81858371950547
PM_105,6572,11.774666989486539,6.496750517628051,44.824337508407474,1680,19.511934038819266,4.722298575068236,75.79789596626783
PM_113,7794,13.796975457117181,10.70204757686557,22.431930026048494,2246,19.361411024654682,9.123948700005807,52.87560039716405
PM_118,4922,12.881633569119174,6.481932828259944,49.6808165402335,1126,23.894269258640584,8.086876448729893,66.15558165351494
PM_126,6798,14.686605654881179,9.591720217374364,34.69069407343623,1926,25.163964696954594,10.337743223987154,58.91846396828615
fit3d_s03,2398,20.348486379595634,6.031609912916285,70.35843452727542,932,29.003581000616027,5.045039255328194,82.60546083871147
fit3d_s04,2398,24.41608140358278,9.69321744191246,60.2998643324883,1012,38.13970290281381,11.53146485260466,69.76519486271637
fit3d_s05,2198,15.900653287796752,15.697750476370311,1.2760658807783836,768,20.964398581785456,17.04932252474148,18.674878946661124
