held_out,k,n_draws,n_test_subj,pooled_mean,pooled_std,subjmean_mean,deep_mean,deep_std
AIHub,1,46,45,13.005380252326836,2.8329813945793005,13.014263315760722,33.015334001958074,3.9407327405157084
SUMediPose,1,26,25,23.946425628529898,1.2812662198532931,24.25587404663325,20.657714916338072,2.5162887253501505
REHAB,1,9,8,15.914429704728812,3.7205412836427234,16.53126109392596,23.008043441099332,5.952478198454651
FiT3D,1,3,2,29.667512103884224,5.915176457264581,30.516853510441447,43.618098887136476,9.143695130152114
