mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
16.788722465527286,19.674379878236206,22.588933039701438,26.533645542266594,-17.188070257484533,S1
13.759882673122727,17.640355824501516,21.54691449247281,25.435251807934563,-28.201353482166997,S11
11.69676126659423,14.551700313269809,15.055638718416567,20.106313572883053,-24.40794491402711,S12
10.2419215738159,15.905089341499474,15.388390282983975,23.37246110365047,-55.29399660862284,S13
12.077827465711485,15.054165073830415,15.835940960332003,20.47711548686375,-24.642988290473973,S14
9.880783531386214,14.229055333767697,14.578817099137686,20.00450352934988,-44.007358207668844,S15
11.177581908859942,21.894255358403548,15.797071481428171,30.813701651453055,-95.87649222278573,S16
13.107935155679819,17.261216988668174,19.017698088807634,24.217460261236646,-31.6852485434267,S17
11.574634239066237,15.058045187753036,15.827605297967809,20.86217672390727,-30.095214040800805,S18
13.605592832879744,18.068709359040874,20.42711838669823,25.457453972897525,-32.8035432265429,S19
11.74447053934912,15.079381237416317,19.047428380901664,22.604805249928372,-28.395581451660902,S2
12.848802947945703,17.508244726649142,16.85644476038379,23.778418440751796,-36.26362547219546,S20
13.228665944063604,17.238133395226455,18.86329890470863,23.679157651997105,-30.308932647604653,S21
15.504107855928826,19.777265467346734,21.288746564204512,27.580512015161236,-27.56145436503679,S22
12.408066371312826,16.09732615854199,16.600853735423826,22.28599583824476,-29.732753491379206,S23
17.01094276504684,21.579288404366274,24.160636393284715,29.52875232951538,-26.855334841912608,S24
13.2855588930278,15.98192040454618,16.92622944427537,21.582684265020298,-20.29543155262681,S25
13.998162755822262,17.39050626275642,19.889339003019458,24.231814906606566,-24.234205346149302,S26
10.87314501962796,12.253961494111591,15.226058437727021,17.24587636701193,-12.699329145256602,S27
12.62499512347839,18.985744772849376,17.593285631062795,27.43242048792016,-50.382194901145404,S28
12.518764438883021,16.10179641910473,17.802926947779675,22.85282641598676,-28.62129084474891,S3
11.694405334656166,14.316774783557902,17.13152394979647,20.918090319265275,-22.42413678898567,S4
12.123406776734932,17.429146149475812,17.102493118798876,24.5387308816107,-43.76442587839834,S6
16.25801193632632,22.5387037726377,23.815842158643637,31.85293231478959,-38.63136440611184,S7
11.000913879195943,16.879708617880283,16.193867655271095,24.76615048568395,-53.43914881291681,S8
12.033245751694027,17.620529685145137,19.89202895116715,26.54546039961729,-46.43206038291488,S9
