subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
S1,16.782218575272747,15.79861844976071,22.58000453798722,21.75384807900933,5.860966004585908
S11,13.753420136038073,13.578954483977327,21.540761480949463,21.34167366333966,1.2685255764389411
S12,11.695474461740668,10.737224589922384,15.053161756164702,14.325038379361818,8.193339012906236
S13,10.236690134193374,9.905416494516881,15.383863036382815,14.966080993276757,3.2361401520785225
S14,12.071121739356448,11.804547664148608,15.829631750574052,15.698877505757121,2.208362080706281
S15,9.878304280716081,9.987356215520354,14.576727310747767,14.142102118776393,-1.103953995597785
S16,11.170856518083454,11.222699765963686,15.791054642314958,15.456827952404971,-0.4640937585789199
S17,13.099788810886587,12.929835012482174,19.009373500126607,18.904254804152714,1.2973781551590524
S18,11.572170322765704,11.274580657901588,15.826544748454781,15.647324717289871,2.5715976913913354
S19,13.602518336638926,13.529609341405044,20.424009853063886,20.40233396629145,0.5359963017840568
S2,11.738790910072685,11.37618281945199,19.04106333330481,18.597673900804704,3.088973075664481
S20,12.843059112680082,11.711881269361701,16.851510867948996,15.537813704103424,8.807697865390638
S21,13.22550899929915,12.922239251852247,18.862892066808154,18.53544699322464,2.293066735374599
S22,15.494794765878915,14.710337114506347,21.280220003934033,20.553819918047626,5.062717275223433
S23,12.404118453082951,11.799069337037935,16.598348746608153,16.05711288806821,4.877808272579306
S24,17.00127805181722,15.986959969970787,24.152916040086065,22.971463527145538,5.966128421374858
S25,13.279539916616312,12.461818585869644,16.921236839333282,16.163710872358042,6.157753475506154
S26,13.990634524932718,13.375058823826722,19.882446671478995,19.268999224480357,4.399912670215053
S27,10.87240844602812,10.797246754727679,15.223732973123813,15.15641587493414,0.691306729999629
S28,12.620932842774529,11.997633810632706,17.58751772634353,16.917620655964175,4.938613016221387
S3,12.51578507678139,12.39285687120744,17.799319047603078,17.736478489861305,0.9821853349175729
S4,11.691672023195709,11.00843047764032,17.127935052155927,16.555697644175112,5.843830926832965
S6,12.11516989002872,12.217996757845969,17.095048863178146,17.10058098438403,-0.8487447452295193
S7,16.250502878224346,15.885203056811028,23.808945217479828,23.448019738787053,2.2479293357919365
S8,10.996728160850852,10.489048248964204,16.18906786340721,15.603970666613616,4.616645100803935
S9,12.031418810322858,11.80902341462221,19.887687801992747,19.593571058972614,1.8484552753648182
