subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
S1,16.782218575272747,11.197948749167765,22.58000453798722,16.96719110011628,33.274920124881206
S11,13.753420136038073,10.835761532195978,21.540761480949463,19.415877256017392,21.214058575851674
S12,11.695474461740668,6.730469339455734,15.053161756164702,10.360580376662933,42.45236171073627
S13,10.236690134193374,7.507111051084499,15.383863036382815,10.158869801319884,26.664664528540587
S14,12.071121739356448,7.884812650258386,15.829631750574052,12.327501119363651,34.680365085285345
S15,9.878304280716081,8.19490179280279,14.576727310747767,10.652244675238922,17.04141156290906
S16,11.170856518083454,10.40095254181154,15.791054642314958,13.367989953187568,6.892076494095048
S17,13.099788810886587,7.077189913941951,19.009373500126607,11.484312723028799,45.97477855474701
S18,11.572170322765704,8.127691148465841,15.826544748454781,11.7974917520544,29.765195967809138
S19,13.602518336638926,11.81312849056008,20.424009853063886,16.693239539099096,13.154842373996681
S2,11.738790910072685,9.484248931249502,19.04106333330481,14.585856265448907,19.20591307992915
S20,12.843059112680082,8.889503036644232,16.851510867948996,11.43972568052489,30.783601020199807
S21,13.22550899929915,8.876580681264583,18.862892066808154,14.356581294937449,32.88288048698183
S22,15.494794765878915,9.105437035119001,21.280220003934033,13.176761196271984,41.23551055242059
S23,12.404118453082951,8.31119734583648,16.598348746608153,11.349760046687154,32.99646905765566
S24,17.00127805181722,13.224896059890318,24.152916040086065,18.889204223676014,22.21234180405193
S25,13.279539916616312,10.248021387875774,16.921236839333282,13.500148961097583,22.82849065386132
S26,13.990634524932718,10.234896883441074,19.882446671478995,15.224219774064485,26.84465550721478
S27,10.87240844602812,10.270518864380243,15.223732973123813,14.164688000733976,5.535936077417669
S28,12.620932842774529,8.882198266983902,17.58751772634353,12.526578299788884,29.623282386222733
S3,12.51578507678139,7.928117772825484,17.799319047603078,10.742717425594751,36.655050209089154
S4,11.691672023195709,6.990296139935837,17.127935052155927,9.952170949864536,40.21132198998202
S6,12.11516989002872,8.84828592909484,17.095048863178146,11.094333405893535,26.965234417576422
S7,16.250502878224346,12.051196307019396,23.808945217479828,17.932744180540602,25.841086904652137
S8,10.996728160850852,8.153818557601864,16.18906786340721,11.5095959966774,25.852322269545148
S9,12.031418810322858,10.384664771206523,19.887687801992747,17.86019934754515,13.68711425541461
