set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
CA01,816,17.78314757751445,9.135890534726045,23.91959610313548,12.798401760552231,48.62613328206452,CA01
CA02,340,19.07285194974541,9.590830840543193,24.77550932162175,12.540932606432907,49.7147523306224,CA02
CA03,545,24.01305672010129,11.321907107572605,31.67063181908244,14.880248991030715,52.85103750204756,CA03
CA04,1062,15.207018005553236,7.560793347023374,22.131782077694133,10.129882204538227,50.28089435902322,CA04
CA05,532,21.08918064246041,9.879660789605479,27.902370095428825,15.084131253450963,53.152941514882635,CA05
CA06,457,23.17512784405397,12.182336475001385,30.282208830592225,17.444295709992705,47.433573799563746,CA06
CA07,597,18.71543910262834,8.389962647537963,24.358324373018302,10.763662762012302,55.170901406423845,CA07
CA08,680,19.13477202332647,10.388936332614508,24.755582922493733,13.396365672299662,45.70650583163597,CA08
CA09,453,19.534658133938066,10.13108639526919,24.466298423024547,13.323740500567567,48.137887411153656,CA09
CA10,1013,18.61453817391602,9.78117491598019,25.206911541228934,14.160136553795164,47.45410912376946,CA10
CA11,1400,20.241919378852607,11.607830017123245,27.296661342469502,15.969322122988231,42.654499309732834,CA11
CB01,859,17.818831138273662,8.873592029407886,23.374305019706956,11.931290088904658,50.20104315176992,CB01
CB02,517,20.31777424466306,10.187123903889411,25.591890264932672,14.677049171673714,49.86102423809882,CB02
CB03,358,22.213127044495707,10.816970664251404,30.469188100515527,16.823959804823293,51.30370144381905,CB03
CB04,690,20.54363842323099,10.513250400275696,25.12291935203861,13.335760382424388,48.82478856137193,CB04
CB05,327,24.621338627586915,14.608329841015507,35.297055255777174,24.22140233292209,40.668011345867114,CB05
CB06,785,15.039326649968745,9.514236231084695,19.66845603802214,12.30098968938703,36.73761829553408,CB06
CB07,418,23.11533955937668,12.797036208520579,28.28811267148386,16.683422943754955,44.638337777177526,CB07
CB08,569,18.808396437417354,8.08225156264994,24.580844268042657,10.634697664849794,57.028492091058126,CB08
CB09,628,17.326293683733585,8.523842642267486,21.933186758852827,11.762234165930025,50.80400460792195,CB09
CB10,860,21.24638460813037,10.310581190844573,33.31809307526533,18.866639779952475,51.47136145271974,CB10
CB11,551,19.752507569481587,10.627371760810748,24.22156441315967,14.04323341219928,46.19735381228021,CB11
CB12,1041,16.789902708855568,11.900339949431876,22.305341113030188,16.164573555506394,29.122043434145507,CB12
CB13,707,20.263574206233688,12.571466185091284,27.3720962719094,20.742184861177567,37.96027266885661,CB13
CB14,586,18.34356961511541,10.253685418601085,22.66235055187248,13.127873591441839,44.102017035158326,CB14
CB15,433,17.71362176655758,9.506252597241572,24.339089707843012,14.656300060259607,46.33365935819577,CB15
CB16,1261,17.849623421676927,9.953790297184005,24.277447187551996,13.425573414235659,44.235292465072796,CB16
CB17,546,17.922749895095308,11.015531022611674,22.79794729545946,15.464991675716327,38.5388342353304,CB17
CB18,437,24.24840359386938,12.159989582250006,29.675889992432285,16.38098198743457,49.85241178794812,CB18
CB19,344,17.588749085002203,8.423267376236995,23.427400036501894,11.416442005393291,52.10991221985506,CB19
CB20,441,19.66447377926363,11.021770942414385,26.441371638122927,16.04264858820683,43.9508472683518,CB20
CB21,972,29.876876616518157,17.26920985293442,42.704473360400065,27.14868051526199,42.198744284445326,CB21
CB22,364,20.956896884334625,12.010321526555574,27.38739541392998,17.949031116080192,42.69036302061808,CB22
CB23,700,18.344973167349988,9.549334861597675,24.084791623864874,13.685847439306386,47.945768170468696,CB23
CB24,474,22.785947348770723,13.430142454794371,30.678753862867694,21.43207986710094,41.05953880596975,CB24
CB25,434,22.16419641521604,13.00740613350038,31.5084572049477,25.226284319883653,41.31343230395392,CB25
CB26,481,20.30002409354369,10.518065639678367,25.248193704587752,13.562127056147698,48.18693026564644,CB26
CI01,316,21.828881945217557,11.489425526938815,28.901232845752915,16.305192318197953,47.36594592534315,CI01
CI02,452,19.45946596215375,7.093473267170228,24.64259782332092,10.626334868538857,63.54744122492285,CI02
CI03,907,14.495724404462639,8.089342915789386,19.79155585164245,11.062664215093413,44.19497301356661,CI03
CI04,427,19.18332512454126,9.037302112753185,25.23413961941244,12.471699984234753,52.88980375361647,CI04
CI05,1023,22.343199446766924,10.604304034884548,29.201316881400448,14.59068064170907,52.53900830026831,CI05
CI06,1271,17.13514180159294,7.368277641893153,26.096726899981228,10.270553674188893,56.9990273368606,CI06
CI07,973,26.103824825494506,14.901023193009646,34.76826927681696,21.63591799382981,42.91632244460802,CI07
CI08,476,17.71412937159766,9.474259277412484,24.322098157458015,13.801321369509948,46.515806232039566,CI08
CI09,740,22.68155982004815,13.984735880576164,34.236254112887025,23.358674428226106,38.34314751044985,CI09
