set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
CA01,2984,13.177350062910605,6.474798735596762,17.962640058473013,9.640627934540387,50.864182064792075,CA01
CA02,2984,14.320780137836005,7.2678031086361825,18.89189599761873,10.189206402772308,49.24994980242458,CA02
CA03,2984,16.234692170994343,9.002505405293533,22.78963745368109,12.855633739575927,44.54772957520052,CA03
CA04,2984,12.080164356332046,5.938096860523394,17.28083797089339,8.708492492001175,50.844237831823634,CA04
CA05,2984,14.107366851757007,7.5258389586444085,18.95622663175182,11.20514915796443,46.65312784641238,CA05
CA06,2984,13.920777984485193,8.402195743294508,19.92172963361538,12.720494457641472,39.64277174265106,CA06
CA07,2984,12.509270631237,6.258156383107552,16.591326818106083,8.753680432940095,49.97185233581676,CA07
CA08,2984,12.74177620463226,5.977854443443593,17.894505960227715,9.102000819388397,53.0846065145113,CA08
CA09,2984,14.109015061131894,6.142386607127147,18.48522016551738,8.95170484099694,56.46480933989183,CA09
CA10,2984,15.143639639930305,7.4303174615661804,20.596486960083464,11.203552255865821,50.934401252033645,CA10
CA11,2984,15.870857702344198,9.668804452299764,21.738185722848556,13.960279788321296,39.07824873969075,CA11
CB01,2984,11.694740817372647,6.123657163975742,16.007083475107326,8.916890969079853,47.63751279652994,CB01
CB02,2984,14.586905163863264,6.718194358444019,20.326368356993083,10.334828412965773,53.94366191474751,CB02
CB03,2984,15.784513251501638,7.586618563017542,22.438069836890644,12.03071555545947,51.93631604512227,CB03
CB04,2984,13.36074129326229,6.083823289392731,17.685188646040647,9.090724323295731,54.46492708858338,CB04
CB05,2984,14.558354618726502,8.116466504536607,23.82431199154839,13.371409018881797,44.24873746311725,CB05
CB06,2984,11.982230938603216,6.378671502788902,15.673793410160085,9.122553047866228,46.76557699919885,CB06
CB07,2984,16.136469759429133,7.918175970892924,22.588890193067186,12.101672044215409,50.92993641768489,CB07
CB08,2984,12.900248691859376,5.427059953023014,17.018336087230576,7.764371353275381,57.93057883878062,CB08
CB09,2984,11.391524486028343,5.317565008560216,15.545762828720578,8.342929067072562,53.31998789905437,CB09
CB10,2984,14.376915085953584,6.470851060277369,23.801561051633787,13.796683482421452,54.99138012855438,CB10
CB11,2984,13.771039416066344,6.486983885590725,18.3040845792228,9.44975498727947,52.89401410018103,CB11
CB12,2984,14.568860127416393,7.655024654399532,20.999907915655847,11.766376281353857,47.456255414286446,CB12
CB13,2984,14.28746060648216,6.9812604251674735,21.88345040950023,13.68666084702359,51.13715013849204,CB13
CB14,2984,13.771239203122224,6.468197322148292,17.832957397034193,9.318907052370513,53.03111632334571,CB14
CB15,2984,15.765719689549991,8.514109348334793,21.623847339425577,12.76328818385552,45.9960628757201,CB15
CB16,2984,14.502438304744588,7.399338579164554,19.752059776530533,10.591024353173916,48.97865845949642,CB16
CB17,2984,13.667370820540018,7.681914768803804,18.6891337766002,11.154772334136762,43.79376348478793,CB17
CB18,2984,15.192627925425212,7.361491458749373,20.02830100242534,11.35093635777684,51.5456345348276,CB18
CB19,2984,13.63442647311785,6.200564937181572,18.80361017202752,8.73963131432702,54.52273002163428,CB19
CB20,2984,14.264133722387164,6.863557022834204,22.08101605585197,10.313964828863012,51.882412515089925,CB20
CB21,2984,22.235136035145295,9.864754023966073,37.58960307186019,17.492512355719555,55.63438870635354,CB21
CB22,2984,13.586948248243992,7.112123354759191,19.085539841839886,10.99511259852665,47.65474023441299,CB22
CB23,2984,13.647245490574385,6.185697850416265,18.400977874412483,9.660682000245538,54.67438572356244,CB23
CB24,2984,14.74772527149229,7.315067450090649,21.94548006919903,13.1429124601376,50.398672911063436,CB24
CB25,2984,15.260420516665155,8.444427459175094,20.894617083118185,15.09542482774146,44.6645166170005,CB25
CB26,2984,14.104866086619866,6.6785602727877995,18.472913939716708,9.918491583732036,52.65066515503324,CB26
CI01,2984,13.85880687414324,6.6062705071109065,18.864378240966282,9.79571570727976,52.33160713541359,CI01
CI02,2984,13.74866585058416,5.956774722195303,18.126924614349118,8.795831780901334,56.673798120257544,CI02
CI03,2984,12.868533393344721,6.082102017787168,16.88053751457576,8.642083311747154,52.73663414563872,CI03
CI04,2984,13.64084772431952,6.174599220219462,18.70436249308721,8.934906873877603,54.73449051695587,CI04
CI05,2984,16.055425655777487,7.537833811432961,22.201978018818796,11.210325584756204,53.051174269425246,CI05
CI06,2984,13.644833184760056,5.913506423375952,20.288293400053586,8.870748277163571,56.66120396414402,CI06
CI07,2984,18.320142333041403,8.525513090136903,29.743150920353067,15.080719770268361,53.463718047863296,CI07
CI08,2984,14.311104441063689,6.18919921538007,19.83889554322187,9.077491151283498,56.75246979806088,CI08
CI09,2984,13.62477559284558,7.563092810140345,21.835191610344207,14.826847203302313,44.4901476827864,CI09
