set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
PM_008_front,1999,9.697844919610963,7.368143108943791,11.450929958149029,9.085897403349689,24.022881681228515,PM_008,front
PM_008_side,997,10.223609803838674,7.926232093752572,13.564487169331432,10.44686630282952,22.47129687229947,PM_008,side
PM_022_front,1498,10.542209221034842,9.660837319874163,12.959875536771825,11.31718274887881,8.360409878814387,PM_022,front
PM_022_side,1498,14.93467317823996,10.580944617562906,18.39785203850524,12.860075753175028,29.151816773737643,PM_022,side
PM_029_front,1498,15.019375174675341,13.733516325900602,21.641356753229463,19.397374772952936,8.561333835929922,PM_029,front
PM_029_side,1498,15.608758304378487,13.156573741412648,19.20873278318452,16.629821840689164,15.710311577301855,PM_029,side
PM_038_front,1498,8.044311939010685,7.161635521627039,9.702098425112966,8.949305825241701,10.972677639502383,PM_038,front
PM_038_side,1498,10.436738106659856,10.463590240339956,12.908268489392896,13.862293889396383,-0.25728473212300845,PM_038,side
PM_043_front,1498,9.317008366291613,7.638851105689309,11.665631619374402,9.99404890519088,18.011760799461968,PM_043,front
PM_043_side,1498,11.319370402574377,8.053471104353314,15.995735104295438,10.942808561629457,28.852305226077736,PM_043,side
PM_105_front,1498,10.49618951398308,8.49761155771966,12.323337596895021,10.280128482847648,19.040985813002933,PM_105,front
PM_105_side,1498,13.03593905291343,10.580302138237217,16.498275751987595,13.495415775472996,18.837437830206767,PM_105,side
PM_113_front,1498,11.309190243609361,11.16121334804708,15.396808323441231,14.927323214331379,1.3084658792958348,PM_113,front
PM_113_side,1498,16.290219722753573,12.993135738467872,18.6704391712706,15.91385988326097,20.239653242248515,PM_113,side
PM_118_front,1498,12.602192910513153,11.435916777690005,16.7055057258111,16.0504197993129,9.254549117798403,PM_118,front
PM_118_side,1498,13.162463020664081,10.930124107663351,16.716592503089384,13.956464542899274,16.959887442769066,PM_118,side
PM_126_front,1499,12.810006502217595,12.116391030138386,19.028402658925202,17.07351745987592,5.41463793916993,PM_126,front
PM_126_side,1497,16.56585274381939,12.848833534041647,20.442500631483384,15.5249889124092,22.437838047090807,PM_126,side
