held_out,n_subjects,frames,mae_raw,mae_corrected,improvement_pooled_pct,improvement_subjmean_pct,subjects_improved,deep_improvement_pct
AIHub,44,348472,8.667901728057103,6.184807163657692,28.64700872602063,29.033206234004595,42/44,36.375195074680526
SUMediPose,26,451323,9.407940484287227,6.735479649521019,28.406438574198546,22.705316466836738,22/26,36.91417541376495
REHAB,9,65211,4.707063263374079,7.019353941851331,-49.12384960850887,-52.24198110844145,0/9,-32.39419059974493
FiT3D,3,6994,6.683067861808176,4.621295477071793,30.850687549034532,23.64467913571904,2/3,59.51150710697362
