set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
SUME_S1,786,26.272201848508693,11.560666495139543,30.87644615392456,14.257703348841916,55.996583149745526,SUME_S1
SUME_S11,635,27.438929887690854,15.083511545034504,31.3875648902465,16.530761698972153,45.028790821026185,SUME_S11
SUME_S12,687,15.784851849838644,6.16129001082987,18.82176076324661,7.470668464542598,60.96707102833625,SUME_S12
SUME_S13,766,14.199919864967075,3.6903732484315133,19.005638734160353,4.628365541767236,74.01130933466666,SUME_S13
SUME_S14,493,11.263874848671128,4.368546205726167,15.3747072652911,5.43701130889109,61.21631086622422,SUME_S14
SUME_S15,478,14.3026582663186,5.348063359332333,18.26314840281963,6.1903625215407265,62.607906448226395,SUME_S15
SUME_S16,1193,19.397670963867075,9.294696659355944,25.459928675734766,11.372506254443303,52.083439931167,SUME_S16
SUME_S17,917,20.02298151397952,5.493582023557247,25.010666082641013,7.024014757115098,72.56361636391777,SUME_S17
SUME_S18,741,15.337591309055988,10.484734141672476,18.483722906696375,11.995284971771873,31.6402821642416,SUME_S18
SUME_S19,697,21.89146885528995,12.301520459130835,26.109827879366424,13.580738202165811,43.80678363590828,SUME_S19
SUME_S2,653,19.519677437482652,6.341527431841311,25.764695897082973,7.6985413426198575,67.51212999214836,SUME_S2
SUME_S20,911,13.057672516248457,4.413538619110585,18.951509171491725,5.368088447960825,66.199653011526,SUME_S20
SUME_S21,821,14.522193744976263,5.234884640594829,17.576426164884754,6.374929357863277,63.95252168835884,SUME_S21
SUME_S22,980,26.847395034659304,10.32110680690207,31.685257076845385,11.753704030485336,61.55639385654443,SUME_S22
SUME_S23,700,13.715036374949378,12.339680819266734,17.167909276471207,13.529394090088154,10.028085366180592,SUME_S23
SUME_S24,1145,23.315735583623205,12.376286963870848,28.806397560625477,14.409789577683556,46.91873683554784,SUME_S24
SUME_S25,867,9.202904165584949,9.373028862753408,10.730279851428918,11.626161255352805,-1.8485979437301465,SUME_S25
SUME_S26,854,14.99662064098919,5.614772087855031,19.9370322998711,6.7693384349438315,62.55975114481074,SUME_S26
SUME_S27,122,17.42380158265613,8.819804786071685,22.253525449192527,9.938979095157322,49.38070923138249,SUME_S27
SUME_S28,961,9.802592564313438,6.027738728080339,13.647782365104623,7.55491407369705,38.50872931285076,SUME_S28
SUME_S3,555,16.73431000499171,8.112423656984637,20.731054480488833,9.768389091302057,51.522210030979664,SUME_S3
SUME_S4,628,15.948802126440725,6.6042504042467325,21.05460231018121,8.111703904805537,58.59093145749251,SUME_S4
SUME_S6,922,16.211039073631746,7.0113173925451235,20.864487214281823,7.989479598260469,56.749734790600414,SUME_S6
SUME_S7,1208,21.688856319929556,10.356786871076014,31.7653126653991,18.189853023148146,52.248349482774145,SUME_S7
SUME_S8,972,11.354035494320811,4.536358779623661,15.397123856291453,5.755347617380179,60.04628678593873,SUME_S8
SUME_S9,919,14.574309993751413,5.643568592494675,19.118871137603367,6.991831636500181,61.27728451697338,SUME_S9
