held_out,n_subjects,frames,mae_raw,mae_corrected,improvement_pooled_pct,improvement_subjmean_pct,subjects_improved,deep_improvement_pct
AIHub,46,137264,14.305850606470948,15.897133344121576,-11.123300399424311,-11.371687541155053,5/46,28.034068306428573
SUMediPose,26,77692,12.647948669143522,9.959577981834641,21.255388977562387,21.529152836807647,26/26,16.617650444836084
REHAB,9,26964,12.290978108985664,12.037034746697792,2.066095635645301,2.514910440830992,5/9,0.0267800875405954
FiT3D,3,6976,20.37211028425069,15.528870666607911,23.77387295702498,25.15151509557606,3/3,34.78582709289376
