set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
PM_008,3075,24.716364040588164,6.58276013026989,31.11978713170993,8.324333631199607,73.36679408241454,PM_008
PM_022,1666,28.47671558470427,4.628364401014617,35.99991573092036,7.53560571293558,83.74684613031476,PM_022
PM_029,2192,30.770014917530755,4.082108687274175,38.676988913844504,5.812706641857581,86.73348486110595,PM_029
PM_038,1486,22.39857567732654,3.582975092490761,27.881318823348643,4.478532607246164,84.00355833287333,PM_038
PM_043,1354,24.97679730631828,5.1254547813037,32.1602715852555,6.241986461501595,79.47913530127767,PM_043
PM_105,1680,31.294042835006184,6.004492991309891,36.90757379652789,6.750170666309838,80.81266449666535,PM_105
PM_113,2246,26.845280440760234,4.137608034507568,32.795135098263266,5.3103736973882185,84.58720502608243,PM_113
PM_118,1126,28.967083816030303,5.277505120467932,34.37733933159399,6.644433207495396,81.78102720320305,PM_118
PM_126,1928,26.184934237897867,3.4080288084809585,31.984631207361065,4.137024560435674,86.98477232167929,PM_126
