subject_id,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct
S1,8.787227698488763,7.692811893397829,10.369073926317796,9.03728575924993,12.454619848751078
S11,7.238375350245657,5.397353613174359,9.627342410705836,7.980435432337439,25.4341844404189
S12,6.469832301940669,4.5254261755691125,7.571771943478022,5.894054153562178,30.053423885319546
S13,6.115894213089742,5.578133868249662,7.902628482994642,7.050328882597592,8.792832676685633
S14,5.494450150192952,4.52799585764202,6.766872797726419,6.15834002971377,17.58964529902946
S15,6.380449403821011,6.0545146253872195,8.383104292699608,7.109211549220777,5.108335758271217
S16,6.320313719574229,7.415745033155904,8.111280404249655,9.298552051110867,-17.33191360721678
S17,4.137973220483439,2.9846617420414483,5.295350072251862,4.1729628847522715,27.87140991471302
S18,6.236851350115409,4.951629311856919,7.999839346812879,6.49810556503872,20.606905088971033
S19,8.131902187222574,7.197498455990468,11.15858351061641,9.901470281282222,11.490592357349152
S2,5.362533520725748,4.812716066811714,7.080824765996283,6.275166171989647,10.25294204295478
S20,6.252137538221439,5.521867470152181,7.4006665720624865,6.798538524394437,11.680326346067561
S21,5.715469216267902,4.667659753276098,7.36540223599727,6.010173812858364,18.332868629743135
S22,7.704761003346136,7.314684243793853,10.054163275250744,9.813828589157598,5.0628015506629565
S23,9.610049268342141,8.884500668993688,11.357214893866846,10.620720592498941,7.549894689287269
S24,6.297825670284934,7.568403335905396,8.828575859483431,9.675362511743002,-20.17486243888007
S25,8.028778954462688,7.98649952753288,10.471616813671696,9.940445263053064,0.5265984674582084
S26,5.562236371132621,4.749812182183187,7.108636325160997,6.352689922202618,14.606070917191216
S27,6.678844066336802,7.84579531037514,8.100863563032672,9.559895735350985,-17.47235348583883
S28,6.699132715775695,6.005726017754405,8.139949592307532,7.511558129071702,10.350693551545803
S3,6.716386904819333,5.691054689792145,8.35431806875834,6.9245075654752775,15.266127898192746
S4,5.928977341836605,4.496542179754246,6.828205684672053,5.547815912005223,24.15990278752924
S6,6.528379347142592,6.196357019855166,8.347378321739273,7.797011850200603,5.085830795551867
S7,8.583082722424898,9.814372419855147,13.85473698773867,14.601498775203085,-14.34554154084145
S8,5.8886927972094405,4.916767244096876,7.604254261227263,7.278224212223678,16.50494577630446
S9,7.775502980150335,7.189674501185736,10.770515606363476,9.682833296068505,7.534284025871112
