set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
S1,2934,4.153297587078108,7.559012930358079,4.865830111666962,8.213493378530755,-82.00027259967976,S1
S11,4432,13.235624801271355,2.1901988201588525,13.763410400735355,2.978325098572772,83.45224458199758,S11
S12,5056,14.864541416837191,2.162514627624284,15.052502478689226,2.6965071921740105,85.45185776686805,S12
S13,5096,14.454608607777358,4.351815928082971,14.690205101620618,4.77447363411779,69.8932288921233,S13
S14,2191,12.831976204228406,5.982882243021443,13.530459869078449,6.867484320947353,53.375207779375735,S14
S15,3472,13.214334991117974,2.103635869552431,13.551594448310748,2.689488879916821,84.08065278376557,S15
S16,6001,11.445744892240409,5.636934251803516,11.85311251622432,8.796518089863563,50.75083094307781,S16
S17,3917,9.762070746592375,1.9940660384148012,10.161816407930939,2.4035032446196345,79.573329366509,S17
S18,4185,21.339990106398425,12.090018339656117,21.507869868991893,12.336154448634074,43.345717222094045,S18
S19,4582,3.7915826403211157,11.458349596280122,4.917788376563685,11.90866756870102,-202.2049282119747,S19
S2,3046,8.939193056541656,2.507802168359227,9.953593106868373,3.2706754394120288,71.94598939191687,S2
S20,5814,19.11070032903965,5.290667535388259,19.24924179595994,5.561046823942231,72.31567946597525,S20
S21,4609,13.331308066605905,3.291871202580564,14.14402517025555,4.079353278480668,75.30721526999668,S21
S22,3863,5.125625296393516,8.456283536110627,6.188555272314582,9.168171527725047,-64.98052524558561,S22
S23,4380,24.92431453414157,14.992893178537862,25.434622467858,15.36193239029766,39.84631690472189,S23
S24,7139,11.292878612867508,9.104217001381379,11.93211977401604,9.564620693615208,19.380900889099173,S24
S25,5260,21.73786763854419,9.264557599386805,22.098387754366854,9.702085272135351,57.38055933803054,S25
S26,4740,12.654175704821393,2.5576948215978277,13.382133400423664,3.213756178683413,79.78774057465225,S26
S27,876,12.915118438945264,4.125435335522069,13.346083107553461,5.060243831670708,68.0573170503655,S27
S28,4720,18.72364091412392,3.9070478756394387,18.960466251724146,4.566205410533569,79.13307623469636,S28
S3,3851,5.6613076171801575,9.679493659526965,6.606803947688843,10.249862447770168,-70.97628876680308,S3
S4,3640,7.354055815866403,5.697067739915241,8.111992667666437,6.183434319377451,22.531622242738543,S4
S6,3962,9.87815620391188,3.80810603830353,10.855304495953606,4.88044185722833,61.449222307342446,S6
S7,8068,9.266424062838396,7.363988499136484,13.454283401657833,12.884113988725858,20.5304176756959,S7
S8,5616,16.219191215637014,7.419995886551629,16.592497841788905,8.171331887929648,54.25175159536951,S8
S9,6230,6.92908659380017,4.863999280875107,7.725140674059605,5.721579578917106,29.803167920758973,S9
