set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
CA01_front,2236,14.28711202105255,15.302254764112357,19.27262511578569,21.090188017235054,-7.105304008003569,CA01,front
CA01_side,748,9.859933300336552,10.657959612025833,13.29831571741397,14.087400595144167,-8.093627891600864,CA01,side
CA02_front,2237,15.88950274590609,16.94781350488603,20.649680902972722,23.071807752326492,-6.660439762676745,CA02,front
CA02_side,747,9.623012434686364,10.450188736943318,12.196686376243841,13.369866664963675,-8.595814542184085,CA02,side
CA03_front,2223,18.1826469125187,19.125635874949975,24.89334411815919,26.586126383104077,-5.186202905265848,CA03,front
CA03_side,761,10.544411763098626,10.765757377438927,15.044714701727049,15.047526939502648,-2.0991746084397525,CA03,side
CA04_front,2235,13.075271104783845,11.53955586203255,18.078450497851584,15.077263332317926,11.745188535245154,CA04,front
CA04_side,749,9.110787076238894,10.95586335934824,14.644800351853165,14.878706934454039,-20.25155749629294,CA04,side
CA05_front,2237,15.620982701599743,16.375240366540602,20.5486228786208,22.189872633052627,-4.828490494798483,CA05,front
CA05_side,747,9.574624340246684,10.746183250683206,13.074909530960946,14.553848796960448,-12.236082260814186,CA05,side
CA06_front,2234,15.395980211944453,15.477435782618375,21.75200010540495,22.931637798725372,-0.5290703778037323,CA06,front
CA06_side,750,9.526642282959882,11.33800401184085,13.02612388594553,15.382631707874708,-19.013642740852305,CA06,side
CA07_front,2237,13.357209894445669,11.911140615602324,17.778258963468247,16.634605487886695,10.826132779755627,CA07,front
CA07_side,747,9.969993346367136,9.571697244199783,12.373660361926682,12.096392284840055,3.9949485253416435,CA07,side
CA08_front,2235,13.59831242315438,14.248962222094919,19.102120102330655,19.991944266097732,-4.784783425277473,CA08,front
CA08_side,749,10.185890425731143,10.067732777553198,13.67099827401426,13.52384257594494,1.1600129516361237,CA08,side
CA09_front,2236,14.978202041460902,14.004698439482656,19.671094713791213,20.28718143677368,6.499469023608491,CA09,front
CA09_side,748,11.510750237581544,10.306400121830148,14.36807220292016,13.023947340491562,10.462829015430316,CA09,side
CA10_front,2238,16.36158517433579,15.388702305697873,21.666070311319373,20.1747913600455,5.94614065979345,CA10,front
CA10_side,746,11.489803036713846,11.7864023154405,16.98838698000632,17.026812258409976,-2.581413082355867,CA10,side
CA11_front,2254,17.13019311433929,14.493814553052976,23.422146361392514,18.56483765519111,15.390244252876872,CA11,front
CA11_side,730,11.98244397818402,11.272348547814884,15.418716295798129,13.947956129843481,5.926131861429775,CA11,side
CB01_front,2237,12.55502101417124,11.892921033614508,17.198528791544167,15.522548757693244,5.273587195189873,CB01,front
CB01_side,747,9.118506814376046,10.400586860208609,11.736718282461458,13.39134070061472,-14.06019726619344,CB01,side
CB02_front,2230,15.80194654876257,15.43060465438515,22.030004393898786,23.17195728212732,2.349975638960128,CB02,front
CB02_side,754,10.993347752291044,11.951995440328043,14.133089126483199,15.911162461180448,-8.720252553069779,CB02,side
CB03_front,2247,17.720514624012015,18.68491808884458,24.72753827289373,27.91412756233079,-5.442299421291967,CB03,front
CB03_side,737,9.88194190274883,12.742568220758736,13.199992315299857,17.237109016864956,-28.9480179721981,CB03,side
CB04_front,2234,14.570467110812064,14.355517600749742,18.99609961411202,19.580898168168265,1.4752410367325697,CB04,front
CB04_side,750,9.75737132472069,10.394911355509542,13.020523059229028,14.930896031533347,-6.533932240270684,CB04,side
CB05_front,2224,16.546082813817204,18.77721544518626,26.642708272787786,30.368539276271058,-13.484355520727215,CB05,front
CB05_side,760,8.741634216250558,10.839615963053713,12.303260019617484,15.031178464741066,-23.999880284432866,CB05,side
CB06_front,2242,12.78673297827657,12.693230328832392,16.64986685407861,16.834953614626546,0.731247376503674,CB06,front
CB06_side,742,9.551377066706097,9.65248264564347,12.2611855661429,12.189825356791475,-1.0585445243262768,CB06,side
CB07_front,2224,17.749316546391995,18.915703752964397,24.509787708409682,27.772450659854336,-6.571448559857367,CB07,front
CB07_side,760,11.416770740737809,12.799381462966032,15.668729952718072,17.999610249289788,-12.110348483172505,CB07,side
CB08_front,2235,13.677469320121054,12.212083227848266,17.96681279743908,16.52574854149304,10.713868611037892,CB08,front
CB08_side,749,10.581038939970393,10.209216045266768,13.80607101388246,13.667300746458956,3.514049015537082,CB08,side
CB09_front,2235,11.989270495508608,11.590765330122277,16.361596924227047,16.192202987392896,3.3238483153384317,CB09,front
CB09_side,749,9.607863162679353,9.9554610594501,12.806032166063645,13.612148300849295,-3.6178481196625625,CB09,side
CB10_front,2241,15.676511956758537,15.622320463082652,25.393920589081528,23.832192655085084,0.34568591422227746,CB10,front
CB10_side,743,10.457135022058697,11.567013763640231,18.172463412872467,18.330516271968772,-10.613602475633256,CB10,side
CB11_front,2230,14.897558713133122,13.813317202192371,19.507452944931444,19.745088297285598,7.277981123074382,CB11,front
CB11_side,754,10.439291362407303,10.742565990448309,14.158636011028177,14.64785352052884,-2.905126579119358,CB11,side
CB12_front,2233,16.31808379414259,13.930268694481382,23.236441759551518,23.36182117486931,14.632938093615625,CB12,front
CB12_side,751,9.367772979880305,8.774447396165433,12.117039065028179,11.249685231666122,6.333688753871288,CB12,side
CB13_front,2241,15.373519223331062,14.393598601522081,23.441906299985483,24.26899409669041,6.374081351014543,CB13,front
CB13_side,743,11.011744105326851,9.88257498574687,16.30435050339646,15.567659400683876,10.254225931691904,CB13,side
CB14_front,2232,14.698280237704887,13.261242579142456,18.837035357281113,18.429615092340274,9.776910191683912,CB14,front
CB14_side,752,11.019702515371547,9.702007942702108,14.447521115232306,12.990563957637757,11.957623818169019,CB14,side
CB15_front,2227,17.83022022388615,20.772636332755912,23.92882371448995,27.92667856525991,-16.5024103568164,CB15,front
CB15_side,757,9.69221547559143,12.031283477438595,12.597626529321776,16.191386398262306,-24.13347090495254,CB15,side
CB16_front,2237,15.865127191485577,13.623149721713089,21.383678878998232,17.83248315314736,14.131481221125677,CB16,front
CB16_side,747,10.42166850603028,10.7563331395165,13.753170324115146,13.962844627515716,-3.211238519941153,CB16,side
CB17_front,2232,15.084078844064154,15.352232175172832,20.405687702916243,22.661815401333467,-1.7777242739234362,CB17,front
CB17_side,752,9.462460835824768,10.86580387197258,12.251545611028433,14.117902774600354,-14.830635079986495,CB17,side
CB18_front,2234,16.400701208518235,15.650921076750627,21.205970567510295,21.994163119969944,4.571634604124031,CB18,front
CB18_side,750,11.594180306185464,11.399390151038174,16.015235093712626,15.849843476613554,1.6800683619123113,CB18,side
CB19_front,2235,14.67777215335216,14.974588674775102,20.297195288294734,22.017313812448002,-2.02221780200583,CB19,front
CB19_side,749,10.521105251056857,10.302910653887961,13.39067832217915,13.34608912103465,2.0738752437342853,CB19,side
CB20_front,2235,15.51162064030185,14.980600075307292,24.184754070723315,25.222492777988244,3.4233725624701985,CB20,front
CB20_side,749,10.541659407915443,10.619337349511772,14.040565087262891,14.012671605959893,-0.736866356524506,CB20,side
CB21_front,2235,27.0779067130692,21.94072674819594,43.00876809569915,38.39932917881551,18.971850443645234,CB21,front
CB21_side,749,7.7844117825953365,8.928417961308556,10.471312304626242,11.533647672361889,-14.696115912971472,CB21,side
CB22_front,2234,15.339889003449693,17.12361077836601,21.082621776714795,23.783902555331405,-11.627996620543914,CB22,front
CB22_side,750,8.365522052071285,11.107984279205189,11.194277211573281,13.831920993876807,-32.78291791072234,CB22,side
CB23_front,2240,14.927038709526746,14.827257928433314,19.841781805110717,21.04089296979487,0.668456637884582,CB23,front
CB23_side,744,9.794104616309225,10.274636243796273,13.141634403336099,14.167237617456804,-4.906335457014242,CB23,side
CB24_front,2225,16.850355641759105,19.40094007696241,24.06586227317055,28.196023767363737,-15.136680135595256,CB24,front
CB24_side,759,8.583887888299053,11.649671153675758,13.98582372836416,16.431211680744394,-35.715555762975,CB24,side
CB25_front,2203,17.06403155487493,16.811038474453362,22.820408537957434,24.097868014839097,1.4826102472208094,CB25,front
CB25_side,781,10.172897959461405,11.440024449162765,14.110914891498568,16.289912874233313,-12.455904843937377,CB25,side
CB26_front,2230,15.452505299609543,15.115009547010057,19.980338994657373,20.696549901630036,2.184084367264468,CB26,front
CB26_side,754,10.119142684806896,10.561641463163355,13.03120978912293,14.173091192593974,-4.372888021638793,CB26,side
CI01_front,2238,14.74667061365482,16.232558787491975,19.653734817889347,22.77878051085762,-10.076092514477697,CI01,front
CI01_side,746,11.195215655608513,11.472876146348407,16.26810341733851,17.464991632222056,-2.4801709880487506,CI01,side
CI02_front,2237,15.146861292611279,15.876080495672982,19.608329460632834,22.30875453633629,-4.814325482847197,CI02,front
CI02_side,747,9.56156651482156,10.280828104378376,12.695714560662882,13.307114432367817,-7.522424159700972,CI02,side
CI03_front,2237,13.788399020217183,12.786865189560663,17.881071172050756,16.724699830107955,7.263597675031199,CI03,front
CI03_side,747,10.113862165347806,10.55900488229403,13.446126114409829,13.298852310463994,-4.401312868108637,CI03,side
CI04_front,2237,14.933253865010688,13.771651406109617,20.340412796739738,20.19403295346731,7.778629288709536,CI04,front
CI04_side,747,9.770549817055619,10.671958304448596,12.591965067055519,14.01342497999147,-9.2257703432356,CI04,side
CI05_front,2238,17.62388172360552,16.19125386746143,24.102398885833967,22.564640478919436,8.128900764382806,CI05,front
CI05_side,746,11.35005745229337,11.729001299773463,15.130578826895556,15.749322982032172,-3.33869541253753,CI05,side
CI06_front,2235,15.523877528496286,12.790638228694508,22.575332631622302,17.522022033240784,17.606679096665946,CI06,front
CI06_side,749,8.0378050028502,9.549504040979192,10.912976353254583,12.533926649739472,-18.807361432542145,CI06,side
CI07_front,2235,20.562463161671985,18.668195428491263,32.6086192856322,31.27373455272929,9.212260799141998,CI07,front
CI07_side,749,11.62910488045215,11.51427760239989,18.748771708847105,17.457818174363748,0.9874128682533281,CI07,side
CI08_front,2235,15.857578969590907,15.903287887140175,21.779410723045704,23.86946842561849,-0.2882465074707881,CI08,front
