set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id,view_type
CA01_front,603,18.986410518021458,15.558478442084146,25.34037655478604,20.247120253356087,18.054661109763735,CA01,front
CA01_side,213,14.376727140304462,10.996122311758072,19.339419596317352,13.682495538777966,23.514425749022028,CA01,side
CA02_front,250,20.82451336348646,12.158766663544753,26.772475943162767,15.307505469409628,41.613201464463316,CA02,front
CA02_side,90,14.2071258004647,8.97924913769688,18.10752639642584,11.032271953817101,36.7975671940402,CA02,side
CA03_front,414,26.908989771885345,16.013017910724496,34.57770636775361,21.238236296612214,40.49193950991433,CA03,front
CA03_side,131,14.861024022096723,10.05604860228491,19.85923773220086,13.374798943457643,32.33273435711656,CA03,side
CA04_front,827,15.693011668491339,12.576441729107652,22.232607913205168,16.105500190813107,19.859603785557507,CA04,front
CA04_side,235,13.496733923639132,9.94220417234109,21.773248606199537,12.591439965829817,26.336221573371827,CA04,side
CA05_front,397,23.22952457912629,13.641486453934121,30.140216452603273,19.529364387019587,41.275223229526794,CA05,front
CA05_side,135,14.794984028709637,11.04406765985567,19.91402251398485,13.427529915549814,25.3526219533277,CA05,side
CA06_front,348,25.8933686758678,13.795893801915515,33.06768595252521,19.099092429929552,46.72035927572041,CA06,front
CA06_side,109,14.49670757367588,9.286933014964074,18.80522013408305,11.512412771983819,35.93763985535636,CA06,side
CA07_front,448,20.296517073564157,11.395684239546815,26.20715523858037,15.047724054111379,43.85399131169414,CA07,front
CA07_side,149,13.961593928270991,10.092183815788678,17.67029932646588,12.618063960964461,27.714673069291184,CA07,side
CA08_front,505,19.526512207656747,17.440229030048297,25.90075634419991,22.151640783903137,10.684361628035017,CA08,front
CA08_side,175,18.004321777116246,15.12371541838013,21.105396313233143,19.14456880118928,15.999527193506443,CA08,side
CA09_front,344,19.288835445661704,12.905995200677866,24.838547466010603,16.36118154997402,33.090853322715326,CA09,front
CA09_side,109,20.31046551712218,11.17692973418591,23.25244530407707,13.685735083275373,44.969603356636476,CA09,side
CA10_front,765,19.785890897272242,15.414482407623119,26.59595036363801,19.67719835476613,22.093564107602464,CA10,front
CA10_side,248,15.00129287807928,11.5476252025753,20.332898622472893,14.88772174435347,23.022466820514314,CA10,side
CA11_front,1070,21.958533199314257,18.30613475194167,29.47382928623418,22.287188012085444,16.633162216348076,CA11,front
CA11_side,330,14.675929112507253,12.906560057745851,18.55660732886164,15.618418177019832,12.056266020346843,CA11,side
CB01_front,629,19.49137996256765,15.200610378966712,25.513196960261805,18.854201787170798,22.013677799320387,CB01,front
CB01_side,230,13.244773701400101,11.369696131044234,16.136770495121862,14.204452075689579,14.157112930949154,CB01,side
CB02_front,394,22.028022132755588,14.975225795851504,27.366078018085993,18.769008312165848,32.01738355990029,CB02,front
CB02_side,123,14.839419221017074,10.112302199313612,18.814241490167525,12.552058170834593,31.85513497056842,CB02,side
CB03_front,261,25.592279539713132,15.8681690928928,34.07845536260987,23.731013567460373,37.99626536483718,CB03,front
CB03_side,97,13.120768268704495,9.557851000726956,17.364182034748918,12.838395947366761,27.154791510766703,CB03,side
CB04_front,520,22.230351988808472,18.42052335100625,26.920222279196725,23.546614303352257,17.137959127773698,CB04,front
CB04_side,170,15.384279281464568,13.334156047769126,18.57544106652777,17.18096580648032,13.326092150221761,CB04,side
CB05_front,241,29.465696141801047,16.99248290357442,40.07716543001028,26.085540146673274,42.33130341872934,CB05,front
CB05_side,86,11.045871640079863,9.20562190649653,15.369202577075725,12.11450668709271,16.660068064760054,CB05,side
CB06_front,577,15.450801735730504,12.817039961298759,20.485949154470436,16.311441534657476,17.04611721436488,CB06,front
CB06_side,208,13.897878936100788,10.604424955747678,17.198480035371954,13.083667378417854,23.697529641002376,CB06,side
CB07_front,310,24.128860356383303,15.35416802206415,29.52487252765396,20.575015539765367,36.36596260543157,CB07,front
CB07_side,108,20.20615949389471,16.982043614751777,24.392285671278803,20.156262840914874,15.956104276604858,CB07,side
CB08_front,425,19.612252701819653,13.693613756085261,25.946963122680042,17.77604578865691,30.178271898287605,CB08,front
