set,frames,mae_raw,mae_corrected,rmse_raw,rmse_corrected,improvement_pct,subject_id
CA01,12360,27.615709474865668,4.5255021092041225,38.91185640723733,6.15036927906216,83.61258068229972,CA01
CA02,11906,28.96929981969086,5.58448738295359,41.15710723133435,7.8996947306871315,80.7227395287002,CA02
CA03,10736,29.91550278717297,6.091833383667021,40.98070119704967,8.14946419523749,79.63653351572934,CA03
CA04,7176,27.798369300360235,3.520398552313958,37.68061536654599,4.647199880563237,87.33595300401906,CA04
CA05,6408,28.37948933954049,5.904244705066111,40.46544628174093,8.881540757946942,79.1953807398505,CA05
CA06,9679,26.923154011842875,4.86620557939062,39.94607739795858,6.615238494381665,81.92557388614243,CA06
CA07,5920,24.823891417821937,5.4959112306820055,34.39313869496876,8.172614062204888,77.86039610721026,CA07
CA08,10184,29.625438120558222,4.165121626180429,39.93224496994914,5.778436135011188,85.94072563845025,CA08
CA09,4160,27.650126876900497,3.8836142078043805,39.632838216635314,5.32776818209972,85.95444344579542,CA09
CA10,17499,28.65164091147747,4.419358027463108,38.34878249119305,5.8856988350123585,84.57554999688422,CA10
CA11,4096,32.01204570976179,6.922073511381584,39.755863106348706,9.460367701595558,78.3766599168926,CA11
CB01,2632,28.647351790957956,4.946114629964096,39.54088456122105,7.001862715562977,82.73447868390664,CB01
CB02,9296,27.75459521711032,3.812904280053883,39.288150422960825,5.344623132009201,86.26207930532786,CB02
CB03,9224,29.047638055809152,4.327407438810588,41.28760773319766,5.87910968125841,85.10237758231374,CB03
CB05,11088,24.206286399709487,4.7706339226249606,37.49099916418434,6.325215605183651,80.29175626591687,CB05
CB06,8358,28.587840713220217,5.254801419712759,39.575291842763946,7.582994410307416,81.61875367773852,CB06
CB07,17416,30.7331393819729,5.108161124314001,42.51875375295273,7.2506546743153875,83.37898038717681,CB07
CB08,4608,27.793768281166873,4.000567648768526,37.5517400158896,5.439499371793873,85.60624234793192,CB08
CB09,5511,26.560070854682227,5.050926638086271,36.94639386586023,7.533446071231962,80.98300766695488,CB09
CB10,3096,27.494217442863548,3.7311498798137674,38.067604543681064,4.848421633508473,86.42932868495869,CB10
CB11,10807,29.452197036042204,4.102237071745079,39.974856254632364,5.431810491614582,86.07154139731934,CB11
CB12,11272,26.95135565748516,4.921489354264215,34.56433340260297,7.137487285204434,81.73936251367239,CB12
CB13,10533,27.538873746284427,3.4177167139933684,37.637844055305315,5.12501445733778,87.58948261471843,CB13
CB14,3456,26.217555299278317,4.265359285849467,36.93619284641946,5.697401482434341,83.7309038269984,CB14
CB15,1128,28.477547112071736,5.68353645543195,43.75656784358276,7.772452393253113,80.04204353322734,CB15
CB16,3928,29.066961885253903,4.691762197149815,38.887733117270315,6.73727441970029,83.85878023416677,CB16
CB17,3568,29.425798371415876,4.683956857785921,41.93442627104437,6.153925431335549,84.08214180405757,CB17
CB18,14198,28.564568738938817,4.728319384327135,39.68413918034897,6.580440620462933,83.44690785447932,CB18
CB19,8168,28.96260647126944,4.366969567477589,41.03017159205789,5.885754760645302,84.92204224847798,CB19
CB20,4160,27.47112778173733,4.129459766174509,38.93840793712289,5.491670521405191,84.96800058962357,CB20
CB22,11864,26.79227011532092,5.0103524714752465,40.61384202867119,6.254300335036016,81.29926113050749,CB22
CB23,5072,29.297007436826195,3.63365878660498,38.05747227927916,4.794333650560188,87.59716740885457,CB23
CB24,9440,29.627455491847268,4.323922474996488,41.16789114835429,5.908434365775837,85.4056907580662,CB24
CB25,3269,34.47281689482625,12.846208741903025,46.14811411567574,24.577780811991396,62.73525084678818,CB25
CB26,9200,29.688516607102805,4.644279501152085,40.177276074956644,6.320248258879621,84.35664683886237,CB26
CI01,4768,25.640772600351646,4.86650217288291,37.586457914367955,6.694088207190793,81.0204542244715,CI01
CI02,4416,30.00116139538816,4.277363647171505,41.42857763192616,6.03466192198667,85.74267312255108,CI02
CI03,3584,26.08247352341943,4.053472419884197,35.375714420928865,5.5462432910903665,84.45901836631948,CI03
CI04,9088,28.67864650637471,4.370610551322411,39.21248437314252,5.6484573147967385,84.76005291828919,CI04
CI05,2976,32.69725170361609,6.9124649348501475,41.91450856449116,10.507216205763562,78.85918670624639,CI05
CI06,19336,26.281306539938647,4.893599498914252,35.68639993886645,6.6498112152025906,81.37992305870469,CI06
CI07,13296,27.907078607417724,3.9534335785588013,39.469483928635356,5.561421138850532,85.8335813856633,CI07
CI08,2824,25.327839328341064,4.020274173939829,36.176145966203244,5.263633750391015,84.12705433802532,CI08
CI09,8016,29.413280457963786,4.79946359007456,39.461320220837194,6.557442657881981,83.68266471693374,CI09
