method,loso_mae_corrected,loso_improvement_pct,pooled_mae_corrected,pooled_rmse_corrected,deep_mae_corrected
raw,14.306,0.0,14.306,20.521,19.836
savgol,22.684,-58.57,22.684,29.652,36.051
kalman,24.55,-71.61,24.55,31.211,40.255
mlp_direct,6.749,52.82,6.749,10.761,9.508
mlp_residual,6.733,52.93,6.733,10.759,9.67
extratrees_residual,7.043,50.77,7.043,11.153,10.587
